source_ref,target_ref,rank,score
Matt 1:13,Mark 15:15,10,0.06918725371360779
Matt 1:13,Mark 15:12,11,0.06870777904987335
Matt 1:13,Mark 14:52,12,0.06868848204612732
Matt 1:13,Mark 10:39,13,0.06829988956451416
Matt 1:13,Mark 5:36,14,0.06738004088401794
Matt 1:13,Mark 10:24,15,0.06654319912195206
Matt 1:13,Mark 6:15,16,0.06649106740951538
Matt 1:13,Mark 14:20,17,0.06563699245452881
Matt 1:13,Mark 4:34,18,0.06554876267910004
Matt 1:13,Mark 16:6,19,0.06511625647544861
Matt 1:13,Mark 14:71,20,0.06423763930797577
Matt 1:14,Mark 8:28,1,0.08786386996507645
Matt 1:14,Mark 15:11,2,0.08591921627521515
Matt 1:14,Mark 12:16,3,0.07764337956905365
Matt 1:14,Mark 10:50,4,0.076615110039711
Matt 1:14,Mark 7:20,5,0.07506921887397766
Matt 1:14,Mark 15:14,6,0.07240739464759827
Matt 1:14,Mark 15:9,7,0.07207615673542023
Matt 1:14,Mark 14:21,8,0.07120593637228012
Matt 1:14,Mark 15:5,9,0.07018257677555084
Matt 1:14,Mark 15:15,10,0.06855932623147964
Matt 1:14,Mark 15:12,11,0.0680476650595665
Matt 1:14,Mark 10:39,12,0.06783425807952881
Matt 1:14,Mark 5:36,13,0.06694634258747101
Matt 1:14,Mark 6:15,14,0.06596234440803528
Matt 1:14,Mark 4:34,15,0.06513553112745285
Matt 1:14,Mark 14:52,16,0.06479346752166748
Matt 1:14,Mark 16:6,17,0.0646861121058464
Matt 1:14,Mark 10:24,18,0.06427426636219025
Matt 1:14,Mark 15:13,19,0.06394052505493164
Matt 1:14,Mark 9:23,20,0.062487222254276276
Matt 1:15,Mark 8:28,1,0.09931793808937073
Matt 1:15,Mark 15:11,2,0.09446191787719727
Matt 1:15,Mark 10:50,3,0.08732293546199799
Matt 1:15,Mark 7:20,4,0.08698832243680954
Matt 1:15,Mark 12:16,5,0.0868029072880745
Matt 1:15,Mark 12:26,6,0.08666311204433441
Matt 1:15,Mark 15:5,7,0.08349005877971649
Matt 1:15,Mark 5:36,8,0.08233168721199036
Matt 1:15,Mark 10:39,9,0.0816420465707779
Matt 1:15,Mark 9:23,10,0.08056864142417908
Matt 1:15,Mark 15:9,11,0.08008063584566116
Matt 1:15,Mark 14:21,12,0.07978265732526779
Matt 1:15,Mark 15:14,13,0.07912580668926239
Matt 1:15,Mark 11:6,14,0.07797587662935257
Matt 1:15,Mark 6:15,15,0.07675042003393173
Matt 1:15,Mark 15:12,16,0.0766104906797409
Matt 1:15,Mark 15:15,17,0.07524643838405609
Matt 1:15,Mark 14:71,18,0.07524387538433075
Matt 1:15,Mark 16:6,19,0.07492324709892273
Matt 1:15,Mark 10:5,20,0.07455708086490631
Matt 1:16,Mark 12:35,1,0.1429373174905777
Matt 1:16,Mark 11:6,2,0.14029204845428467
Matt 1:16,Mark 14:62,3,0.14004255831241608
Matt 1:16,Mark 1:25,4,0.13694043457508087
Matt 1:16,Mark 9:23,5,0.13486117124557495
Matt 1:16,Mark 10:39,6,0.13432714343070984
Matt 1:16,Mark 8:29,7,0.13288357853889465
Matt 1:16,Mark 14:61,8,0.1324191391468048
Matt 1:16,Mark 10:38,9,0.1291051208972931
Matt 1:16,Mark 5:36,10,0.12791308760643005
Matt 1:16,Mark 10:50,11,0.12634629011154175
Matt 1:16,Mark 10:5,12,0.12633582949638367
Matt 1:16,Mark 15:5,13,0.12433847784996033
Matt 1:16,Mark 14:71,14,0.12328404188156128
Matt 1:16,Mark 7:20,15,0.12199097126722336
Matt 1:16,Mark 10:12,16,0.12172558903694153
Matt 1:16,Mark 15:37,17,0.12164115905761719
Matt 1:16,Mark 15:12,18,0.12040688842535019
Matt 1:16,Mark 13:37,19,0.12024109810590744
Matt 1:16,Mark 13:5,20,0.11797674000263214
Matt 1:17,Mark 3:7,1,0.12472104281187057
Matt 1:17,Mark 3:8,2,0.11897018551826477
Matt 1:17,Mark 12:35,3,0.11143354326486588
Matt 1:17,Mark 5:29,4,0.10110311955213547
Matt 1:17,Mark 14:54,5,0.09909375011920929
Matt 1:17,Mark 1:1,6,0.09754723310470581
Matt 1:17,Mark 15:38,7,0.09699875116348267
Matt 1:17,Mark 15:32,8,0.09557674825191498
Matt 1:17,Mark 12:36,9,0.09194067865610123
Matt 1:17,Mark 12:34,10,0.09099651128053665
Matt 1:17,Mark 8:15,11,0.0908372774720192
Matt 1:17,Mark 14:61,12,0.08999598771333694
Matt 1:17,Mark 9:19,13,0.08836878091096878
Matt 1:17,Mark 6:43,14,0.08678954094648361
Matt 1:17,Mark 8:12,15,0.08471988141536713
Matt 1:17,Mark 15:45,16,0.08364808559417725
Matt 1:17,Mark 13:19,17,0.08320844173431396
